S.No.,Subject,Topic,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Description
6152,Pathology,CVS,"In atheroscelrosis, increased LDLin monocyte macrophage due to",LDL receptors on macrophage,LDL receptors on endothelium,Lipids in LDL get oxidized,All of the above,,3,Oxidized LDL have most important role in atherosclerosis.Macrophages and endothelial cells generate free radicals that will oxidise LDLto yield oxidized (modified) LDL.Oxidized LDL has following functionsIncreases monocyte accumulation in lesions.It is ingested by macrophages via scavenger receptor to (distinct from LDL receptors) form foam cells.Stimulates release of cytokines and growth factors.Cytotoxic to smooth muscle cells and endothelial cells
6153,Pathology,CVS,Atherosclerosis initiation by fibroblast plaque is mediated by injury to,Â Smooth muscle,Media,Adventitia,Endothelium,,4,>Atherosclerosis occurs due to chronic inflammatory response of the arterial wall initiated by injury to endothelium
6154,Pathology,CVS,Which of the following is a non-modifiable risk factor for CHD?,Diabetes,Smoking,Hypertension,Old age,,4,
6155,Pathology,CVS,3Infective agent causing atherosclerosis,M. pneumoniae,C. pneumoniae,H. influenzae,C. diphtheriae,,2,Herpesviruses and Chlamydia pneumoniae are found in atherosclerotic plaques.
6156,Pathology,CVS,Raised serum level of lipoprotein-A is a predictor of - (Al 03),Cirrhosis of liver,Rheumatic arthritis,Atherosclerosis,,,3,contains it an additional protein Lipoprotein A is a lipoprotein similar to LDL in lipid and protein composition and called apolipoprotein A.Elevated level of lipoprotein A is associated with increased risk of atherosclerosis. Lipoprotein A has close homology to plasminogen and it competes with plasminogen for binding on the surface of endothelium. The result in decreased production of plasmin from plasminogen and inhibits endogenous fibrinolytic system. The will promote furtherfibrin deposition. Lipoprotein A is accumulated in atherosclerotic lesions. Sol lipoprotein A causes impaired cell surface fibrinolysis and progressive atherosclerosis
6157,Pathology,CVS,IN MALINGNANT HYPERTENSION HYPERPLASTIC ARTERIOSCLEROSIS IS SEEN IN ALL EXCEPT-,HEART,KIDNEY,PERIADRENAL FAT,PERIPANCREATIC FAT,,1,"HYPERPLASTIC ARTERIOSCLEROSIS IS HISTOLOGICAL FINDINGS OF MALINGNANT HYPERTENSION. IT CAN AFFECT ARTEROLES OF ALL THE ORGANS BUT FAVORED SITES ARE :- KIDNEY, SMALL INTESTINE, GALLBLADDER, PERIPANCREATIC FAT, PERIADRENAL FAT"
6158,Pathology,CVS,"Commonest histological finding in benign hypertension is -(Recent exam 2017,,16, AllMS May 11)Cirrhosis of liverRheumatic arthritisAtherosclerosisCervical ca",Proliferating endarteritis,Necrotising arteriolitis,Hyaline arteriolosclerosis,Cystic medial necrosis,,3,
6159,Pathology,CVS,"In malignant HTN, seen in - (Recent exam 2016,17)",Hyalinised arterioles,Replacement by necrotising arteriolitis,Calcification,Atherosclerosis,,2,
6160,Pathology,CVS,Major change occurring in blood vessels in hypertension -,Atheroscelrosis,Hyaline arteriosclerosis,Multiple small aneurysms,Fibrinoid necrosis,,2,"Robbins9th/e p. 490 & 8th/e p. 495-96]Vascular change -Benign hypertension will show hyaline arteriosclerosis.Malignant hypertension will show hyperplastic arteriosclerosis, onion skinning, fibrinoid necrosis (necrotizing arteriolitis)."
6161,Pathology,CVS,Onion skin thickening of arteriolar wall is seen in -,Atherosclerosis,Median calcific sclerosis,Hyaline arteriosclerosis,Hyperplastic arteriosclerosis,,5,
6162,Pathology,CVS,"In malignant hypertension, hallmark is - (PGI Nov)",Fibrinoid necrosis,Hyperplastic arterioles,Hyalinization,All of the above,,5,
6163,Pathology,CVS,"Onion skin lesion in vessels is seen in - (Al 13,)",Malignant hypertension,Benign hypertension pattern,Peripheral vascular disease,None of the above,,1,
6164,Pathology,CVS,"ALlare seen in malignant hypertension except -(Recent exam 2017,)",Fibrinoid necrosis,Hyaline arteriolosclerosis,Necrotizing glomerulonephritis,Hyperplastic arteriolosclerosis,,5,
6165,Pathology,CVS,A 70-year-old man has abdominal pain y/ith mass in abdomenAngiography reveals aneurysm of aorta.Most likely cause is - (Recent exam 2017),Trauma,Atherosclerosis,Syphilis,Congenital,,2,Harrison 18th/e p. 2062 & 16th/e p. 1482 ; Robbins 9th/e p. 502- 503&8th/ep.507]
6166,Pathology,CVS,"Most common cause of aortic aneurysm is - (Recent exam ,)",Syphilis,Marfan's syndrome,Atherosclerosis,Congenital,,3,
6167,Pathology,CVS,"Syphilitic aneurysm mostly involve - (Al 13,)",Arch of aorta,Descending aorta,Abdominal aorta above the renal arteries,Abdominal aorta below the renal arteries,,5,"Harrison 18th/e p. 2065,2066 & 17th/e p. 1567; Robbins 9th/e p.503&8th/ep.507]Syphilis usually affects the proximal ascending aorta (aortic ring).It may occasionally involve the aortic arch or descending aorta."
6168,Pathology,CVS,"Ascending aorta involvement is the commonest site of which aneurysm-	(Al ,dnbJune09,Novl4)",Syphilitic,Atherosclerotic,Mycotic,None of the above,,1,
6169,Pathology,CVS,Most common cause of abdominal aneurysm is - (Recent exam 2017),Atheroscelrosis,Trauma,Marfan's syndrome,Congenital,,1,
6170,Pathology,CVS,"Visceral aneurysm is most commonly seen in - (Al ,)",Splenic,Renal,Hepatic,Coronary,,1,Robbins 9th/e p. 502; Textbook of interventional Radiology p. 740]Visceralarteryaneurysm:Splenicarteryaneurysm (most common)Hepatic artery aneurysm (2nd most common)
6171,Pathology,CVS,"In aortic dissection blood enters in - (Recent Exam 2017,16)",Intima,Media,Adverse,None of the above,,2,[Ref:Robbins 9th/ep.504 & 8th/ep.509]Aortic dissection is characterized by dissection of blood between and along the laminar planes of aortic media.
6172,Pathology,CVS,"Classification of aortic dissection depends upon - (Al ,)",Cause of dissection,Level of aorta affected,Percentage of aorta affected,None of the above,,2,
6173,Pathology,CVS,"Most common cause of dissecting hematoma is - (Al ,)",Hypertension,Marfan,Iatrogenic,Kawasaki,,1,
6174,Pathology,CVS,Which is associated with vasculitis of medium size vessels?,Temporal arteritis,Wegener's granulomatosis,Classic PAN,Tuberous sclerosis,,3,
6175,Pathology,CVS,"Cystic medial necrosis is seen in - (Al ,)",Marfan's syndrome,Friedreich's ataxia,Down's syndrome,Kawasaki syndrome,,5,Robbins 9tb/e p.504& 8th/e p.509]Cystic medial degeneration of the aortafis seen in Marfanâ€™s syndrome.
6176,Pathology,CVS,Most common cause of aortic dissection - (Recent exam 2016),Hypertension,DM,Trauma,Marfan's syndrome,Wegener's granulomatous,1,
6177,Pathology,CVS,Wegener's granulomatous,ANCA,RA factor,HBsAg,ASO titer,,1,
6178,Pathology,CVS,"Which of the following condition(s) is associated with raised ANCA except?	(Recent Exam 20.AIPG 12, dnbJune 09)",Wegener's granulomatous,Polyarteritis nodosa,Microscopic polyangitis,Churg-Strauses syndrome,,2,
6179,Pathology,CVS,"ANCA associated with Wegener's granulomatosis- (Al ,)",pANCA,pANCA,Both,None of the both,,3,
6180,Pathology,CVS,Post-streptococcal glomerulonephritis,Post-streptococcal glomerulonephritis,Idiopathic crescentic glomerulonephritis,Diffuse glomerulosclerosis,Microscopic polyangitis,,2,
6181,Pathology,CVS,"ANCA positive vasculitis - (Al 13,)",Henoch-Schonlein purpura,Bachet's syndrome,Wegener's granulomatosis,None of the above,,5,
6182,Pathology,CVS,"All of the following conditions are associated with granulomatous pathology, except-	(AllO)",Wegener's granulomatosis WG,Takayasu arteritis TA,Polyarteritis nodosa classic PAN,Giant cell arteritis GCA,,5,Robbins 9th/e p. 506 & 8th/e p. 511]Granulomatous vasculitis is seen in -Giant cell arteritis (temporal arteritis)Takayasu 's arteritisWegener's granulomatousChurg-Strauss syndrome
6183,Pathology,CVS,Fibrinoid necrosis with neutrophilic infiltration is seen in-,PAN,Giant cell arteritis,Takayasu arteritis,Henoch-Schonlein purpura,,1,"Robbins 9th/e p. 510 & 8th/e p. 511,514]PANIt is a necrotizing vasculitis characterized by fibrinoid necrosis.Acute phase will show transmural inflammation with mixedinflammation consisting of neutrophils and mononuclear cells withaccompanid fibrinoid necrosis."
6184,Pathology,CVS,Granuloma is seen in all except - (AllMS Nov01),Giant cell arteritis,Microscopic polyangitis,Takayasu arteritis,Wegener's granulomatosis WG,,2,Robbins 9th/e p. 506 & 8th/e p. 511] Granulomas are absent in PAN and microscopic polyangitis.
6185,Pathology,CVS,"In Wegener's granulomatosis cytoplasmic anti-neutrophilic antibodies are directed against- (Al 13,)",Proteinase 1,Proteinase 2,Proteinase 3,Proteinase 4,,3,"c' i.e., Most commonly involved artery is abdominal aorta"
6186,Pathology,CVS,"All are true about Giant cell arteritis except - (Al 13,)",Involves Large to small sized arteries,Granulomatous inflammation,Most commonly involved artery is abdominal aorta,Most commonly involved artery is abdominal aorta,,5,"Robbins 9th/e p. 508 & 8th/e p. 512-13]Temporal arteritis (giant cell arteritis).It is most common vasculitis in adults.It is granulomatous inflammation of large to medium sizedarteries.Mostcommonly if affects tern poral arteries.It may affect vertebral arteries, ophthalmic arteries and aorta(thoracic aortic aneurysm).Ans. is 'c' i.e., Low ESRRobbins 9th/e p. 508 & 8th/e p. 519; Harrison 18th/e p. 2795 &17th/e p. 2126] Raised ESR is seen in temporal arteritis (giant cell arteritis)."
6187,Pathology,CVS,All of the following are true about temporal arteritis except -,Polymyalgia rheumatica,Anemia,Low ESR,Sudden blindness,,3,
6188,Pathology,CVS,Pulseless disease is - (Al 98),Giant cell arteritis,Takayasu arteritis,Kawasaki disease,Polyarteritis nodosa,,2,Robbins 9th/e p. 508 & 8th/e p. 519]Takayasu's arteritisIt is granulomatous vasculitis of large and medium arteries.It is characterized by-Ocular disturbanceMarked weakening of pulses in the upper extremities(pulseless disease).
6189,Pathology,CVS,"In PAN, cysts are seen in all except - (Al 13,)*",Lung,Pancreas,Liver,Heart,,1,"9th/e p. 509 & 8th/e p. 514, 575]Polyarteritis nodosa (medium sized vessels vasculities) does notinvolve small vessels, i.e. arterioles, venules or capillaries.It involves blood vessels of many veisceral organs except forpulmonary circulation."
6190,Pathology,CVS,Muslce biopsy in PAN shows - (PGI JUNE 98),Necrotizing arteritis,Atrophy,Granulomatous lesions,Ring lesions,,1,
6191,Pathology,CVS,Kawasaki diseae is associated with all except - (AllMS Dec98),Thrombocytopenia,Cervical lymphadenopathy,Red eye,Rash,,1,Nelson 17th/e p. 823; Robbins 9th/e p. 510 & 8th/e p. 575] Thrombocytosis is seen in Kawasaki disease.
6192,Pathology,CVS,"Which of the following is the only vasculitis affecting both arteriolar and venous system?	(Al 20; Recent Exam 2016)",Wegener's granulomatosis,Polyarteritis nodosa,Behcet's disease,Kawasaki disease,,5,
6193,Pathology,CVS,"A patient presents with respiratory symptoms, i.e., cough, hemoptysis and glomerulonephritisHis-C-ANCA Levels in serum were found to be raised.The most likely diagnosis is -",Goodpasture's syndrome,Classic polyarteritis nodosa,Wegener's granulomatous,Kawasaki syndrome,,5,
6194,Pathology,CVS,Feature of microscopic polyangitis is - (Recent exam 2016),IgG deposits in kidney,Bronchospasm,Renal involvement,All of the above,,3,
6195,Pathology,CVS,In Wegener's glomerulonephritis characteristic feature seen in -,Granuloma in the vessel wall,Focal necrotising glomerulonephritis,Nodular glomerulosclerosis,Interstitial granuloma,,2,Robbins 9th/e p. 511 & 8th/e p. 516 ; Harrison 18th/e p. 2789 &17th/e p. 2121]Wegener's granulomatosis is characterized by necrotizinggranulomatous inflammation and focal necrotizingglomerulonephritis with crescent formation (RPGN type III).Granulomas are seen only in lungs and respiratory tract and it isvery rarely seen in other organs.
6196,Pathology,CVS,Lung is characteristically involved in - (PGI JUNE 2000),Churg-Strauss syndrome,HSP,PAN,ITP,,1,
6197,Pathology,CVS,Which is not a characteristic of Wegener's granulomatosis?,Granuloma in vessel wall,Focal necrotising glomerulonephritis,Positive for C-ANCA,Involves Large vessels,,4,Robbins 9th/e p. 512 & 8th/e p. 516] Wegener's granulomatous is a small vessels vasculitis.
6198,Pathology,CVS,Henoch-Schonlein purpura is characterized by the deposition of the following immunoglobulin around the vessels -,IgM,IgG,IgA,IgE,,3,
6199,Pathology,CVS,Which of the following is not a common cause of vasculitis in adults?,Giant cell arteritis,Kawasaki disease,Henoch-Schonlein purpura,Polyarteritis nodosa,,2,
6200,Pathology,CVS,"Frequency of renal involvement in HSP - (Al 13,)",20-40%,> 80%,40-60%,0.1,,1,"Harrison 18th/e p. 2797]~ Renal, involvement is seen in 10-50% (average is 30%) of HSP(Henoch-Schonlein purpura)."
6201,Pathology,CVS,Hypersensitivity vasculitis is seen most commonly in -,Post-capillary venules,Arterioles,Veins,Capillaries,,1,
6202,Pathology,CVS,All are seen in Henoch-Schonlein purpura except- (Al 94),Thrombocytopenia,glomerulonephritis,Arthralgia,Abdominal pain,,1,
6203,Pathology,CVS,"Thromboangitis obliterans is associated with - (Al 13,)",HLA-B27,HLA-DR4,HLA-B5,HLA-DR2,"a' i.e., Thrombocytopenia",1,
6204,Pathology,CVS,"A 30 year old male presented with pain in lower extremities,aggravated by walking He gives history of cigarette smokingIn this patient prevalence of which HLA antigen is increased?	(JIMER 20; Recent Exam 2016)",HLAB5,HLAB8,HLADr2,HLADr3,,5,Its Thromboangiitis Obliterans (TAO) case .HLA-A-9 AND HLA-B5 is associated with increased risk of Thromboangiitis Obliterans (TAO)HLA - B12 is protective against Thromboangiitis Obliterans (TAO).
6205,Pathology,CVS,"Raynaud's phenomenon, what change is seen in vessels initial stage?	(AI13,)",No change,Thrombosis,Fibrinoid necrosis,Hyaline sclerosis,,1,Robbins 9th/e p. 512 & 7th/e p. 542] Sturctural changes are absent in arterial wall except for intimal thickening in late phase.
6206,Pathology,CVS,Buerger's disease is associated with - (Al 98),Alcoholism,Smoking,Trauma,Cold environment,,2,
6207,Pathology,CVS,Raynaud's phenomenon is seen in - (pgi May 10),SLE,Systemic sclerosis,DM,Hypertension,,1,
6208,Pathology,CVS,Most common site of lymphangioma is - (Recent exam 2017),Axilla,Head and neck,Groin,Heart,,2,Robbins 9th/e p. 517 ; Bailey and Love 25th/e p. 947]Lymphangiomas mostly occur in skin and mucous membrane.Most common sites are head and neck.
6209,Pathology,CVS,The tissue of origin of the Kaposi's sarcoma is-,Lymphoid,Vascular,Neural,Muscular,,2,"Robbins 9th/e p. 518 & 8th/e p. 523 ; Harrison 18th/e p. 1564,1565 &17th/ep. 1186] Kaposi sarcoma is an intermediate grade, multicentric vasculartumor."
6210,Pathology,CVS,"Spontaneous regression can occur with- (Al ,)",Cavernous hemangioma,Strawberry angioma,Nevus flammeus,None of the above,,2,"Robbins 9th/e p. 516 & 8th/e p. 520, 521] Strawberry capillary hemangiomaIt is alos called as juvenile hemangioma.It is common lesion growing rapidly in the first a few monthsand regresses by age 7 years in newborns. Majority of the children will be normal at birth."
6211,Pathology,CVS,"Pathological feature of pyogenic granuloma - (Al 13,)",Epitheloid cells,Cavernous heangioma,Granulation tissue,Giant cells,,3,
6212,Pathology,CVS,"Kaposi's sarcoma is seen with - (Recent exam 2017,16,)",HCV,HPV,HSV,HHV,,4,Robbins 9th/e p. 518 & 8th/e p. 523-525] Human herpesvirus-8 (HHV-8) is also known as Kaposi sarcoma-associated herpesvirus (KSHV) seen in skin lesion of AIDS patients.
6213,Pathology,CVS,Kaposi's sarcoma associated with gut may be seen in -,Non-Hodgkin's lymphoma,HIV infection,Fungal infection,Keratoacanthosis,,2,
6214,Pathology,CVS,Transient Myocardial stunning pattern not matching with the ECG is seen in: (Recentexam2018),Takotsubo cardiomyopathy,Restrictive cardiomyopathy,Dilated cardiomyopathy,Pericardial effusion,,1,"It is a temporary condition where heart muscle becomes suddenlyweakened or 'stunned'/'Myocardial Stunning"" is a state where certainof major coronary segments of myocardium (corresponding to area"
6215,Pathology,CVS,"â€œFlipping of LDHâ€ùis seen in myocardial infarction,is:",LDH 1 > LDH 2,LDH2 > LDH1,LDH 2 > LDH 3,LDH 3 > LDH 2,,5,Usually LDH 2 in predominant in serum & LDH 1 is predominant in heart gher levels of LDH 1 than LDH 2 (Flipped pattern) is suggestive of myocardial infarction
6216,Pathology,CVS,"Concentric hypertrophy of left ventricle is seen in - (Al 13,)",Mitral stenosis,Hypertension,Aortic regurgitation,None of the above,,2,"Robbins 9th/e p. 527 &8th/e p. 533]Concentric hypertrophy is seen in pressure overload, e.g. hypertension and aortic stenosis.Eccenric hypertrophy is seen in volume overload, e.g. in aortic regurgitation."
6217,Pathology,CVS,Concentric hypertrophy of heart is associated - (AllMS 97),Systemic hypertension,Mitral regurgitation,Hypertrophic cardiomyopathy,Mitral stenosis,,1,
6218,Pathology,CVS,Commonest cause of right ventricular failure is - (AllMS 89),cor pulmonale,Pulmonary involvement,Endomyocardial fibrosis,Left ventricular failure,,5,
6219,Pathology,CVS,"Heart failure cells are - (Recent Exam 2017,16,)",Lipofuscin granules in cardiac cells,Pigmented alveolar macrophages,Pigmented pancreatic acinar cells,Pigment cells seen in liver,,2,"Robbins 9th/e p. 529 & 8th/e p. 535] Hemosiderin-containing macrophages in the alveoli (called siderophages, or heart failure cells) are indicators of pulmonary edema in leftventricularfailure."
6220,Pathology,CVS,"Heart failure cells are stained by? (Recent exam 2017,16)",Alcian blue,Silver stains,Prussian blue,PAS,,3,Heart failure cells are hemosiderin laden alveolar macrophages and due to presence of hemosiderin they will be positive for iron
6221,Pathology,CVS,Which one of the following sets of components of cigarette smoke is a casual agent of coronary artery disease?,Tar and nicotine,Nicotine; carbon monoxide and tar,Carbon monoxide and tar,Carbon dioxide,,3,Mechanisms for smoking induced CHDI) Carbon monoxide induces atherogenesis.II) Nicotine's adrenergic stimulation raises both BP and myocardial oxygen demand.III) Alters lipid metabolism with decrease in protective high- density lipoproteins
6222,Pathology,CVS,"Coronary heart disease may manifest as all, except -",Angina on effort,Cardiomyopathies,Myocardial infarction,Sudden death,,2,Robbins 9th/e p. 538]
6223,Pathology,CVS,Best indicator for comoary artery disease -,H D L,LDL,VLLDL,Chylomicron,,2,Park 21st/e p. 340
6224,Pathology,CVS,The most common site for myocardial infarction is -,"Left atrium Recent exam 2016,14",Left ventricle,Right atrium,Right ventricle,,2,Robbins 9th/e p. 543 & 8th/e p. 550] Left anterior descendig artery is the most commonly involved vessel in atherosclerosis.Ml occurs in regions supplied by it :-I) ApexII) Anterior wall of left ventricleIII) Anterior 2/3rd of ventricular septum
6225,Pathology,CVS,"Approximate time, at the end of which the quantity of ATP within ischaemic cardiac myocytes is reduced to 10% of original is?",<2 minutes,10 minutes,20 minutes,40 minutes,,4,Robbins 9th/e p. 540 & 8th/e p. 550]
6226,Pathology,CVS,Vasospasm is the cause of - (Al 97),Stable angina,Unstable angina,Variant angina,Classical angina,,3,Robbins 9th/e p. 539-540 & 8th/e p. 546-547]
6227,Pathology,CVS,Most common site of myocardial infarction is - (Al 98),Anterior wall of left ventricle,Posterior wall of left ventricle,,,,1,Robbins 9th/e p. 543 & 8th/e p. 550)
6228,Pathology,CVS,"Inferior wall Ml - (Al 13,)",Post-interventricular artery,Anterior interventricular artery,Atrial branch,Nodal branch,,1,"BDC 15th/e Vol. I p. 252,253; Robbins 9th/e p. 544 & 8th/e p. 550] Inferior/posterior wall of ventricle is supplied by intramural branch of right coronary artery (posterior interventricular artery)."
6229,Pathology,CVS,"Most common site of artery of atherosclerosis - (Al 13,)",LAD,RCA,LCX,Diagonal branch of LAD,,1,Robbins 9th/e p. 544 & 8th/e p. 549-550] Most commonly affected artery is left anterior descending (LAD) artery.
6230,Pathology,CVS,The most common site of myocardial infarction is - (Al 94),Anterolateral,Interventricular septum,Posterior wall,Inferior wall,,1,
6231,Pathology,CVS,The critical narrowing of coronary vessels to cause angina is -,More than 50%,More than 60%,More than 70%,More than 80%,,3,"Robbins 9th/e p. 539 & 8th/e p. 572] More than 75% of obstruction of coronary artery will cause symptomatic ischemia induced by exercise (classical angina)."
6232,Pathology,CVS,"Irreversibleinjuryinmyocardiumoccursat- (Recentexam2017,)",2 minutes,30 minutes,2 hours,5 hours,,2,
6233,Pathology,CVS,Most common site of myocardial infarction is -(DNB Dec07;Recent Exam 2016),Anterior wall of left ventricle,Posterior wall of right ventricle,Posterior wall of left ventricle,Inferior wall of left ventricle,,1,
6234,Pathology,CVS,The cells seen after 72 hours in the infarcted area in Ml are -,Neutrophils,Lymphocytes,Macrophages,Monocytes,,3,
6235,Pathology,CVS,"A 45-year-old male had severe chest pain and he was admitted to the hospital with a diagnosis of acute myocardial infarctionFour days later he died and autopsy showed transmural coagulative necrosisWhich of the following microscopic features will be seen on further Examination?	(AlIMS May ll,ai09)",Fibroblast and collagen,Granulation tissue,Neutrophilic infiltration surrounding coagulative necrosis,Granulomatous inflammation,,3,
6236,Pathology,CVS,"Earliest histological change in Ml - (Recent exam 2016,13)",Macrophage infiltration,Neutrophilic infiltration,Waviness of fibers,Coagulative necrosis,,3,"Robbins 9th/e p. 544 & 8th/e p. 550] Waviness of myofibers are the earliest histological finding..."
6237,Pathology,CVS,Average time taken for myocardial infarction to heal completely is-,3 weeks,6 weeks,12 weeks,15 weeks,,3,
6238,Pathology,CVS,"A myocardial infarct showing early granulation tissue has most likely occurred -	(Recent exam 2017,13)",Less than 1 hour,Within 24 hrs,Within 1 week,Within 1 month,,3,
6239,Pathology,CVS,"In myocardial infarction, microscopic picture of coagulative necrosis with neutrophilic infiltration is seen in- 	(Recentexam 2016)",4-12 hrs,12-24 hrs,1-3 days,3-7 days,,3,
6240,Pathology,CVS,"True about Dressier's syndrome is all,except- (Recentexam 2017,)",Occurs within hours after myocardial infarction,May be due to early use of anticoagulant,Chest pain is common,Responds well to salicylates,,1,"Robbins 9th/e p. 549 & 8th/e p. 557; Harrison 15th/e p. 138 ;ChandrasomaTaylor3rd/ep. 365]Dressier syndromeIt is alos known as postmyocardial infarction syndrome or postcardiotomy pericarditis.It occurs 2-3 weeks after Ml (it may also occur within 2-5 days).Remaining options are correct."
6241,Pathology,CVS,Cells seen in Ml at 48 hours are - (DNBJune 07),Polymorphs,Fibroblasts,Lymphocytes,Macrophages,,1,
6242,Pathology,CVS,"A 60-year-old male presented with acute chest pain of 4 hours durationElectrocardiographic Examination revealed new Q wave with ST segment depressionHe succumbed to his illness within 24 hours of admission, the heart revealed presence of a transmural hemorrhagic area over the septum and anterior wall of the left ventricle, light microscopic Examination is most likelyto revea-",Edema in between normal myofibers,Necrotic myofibers with presence of neutrophils,Coagulative necrosis of the myocytes with presence of granulation tissue,Infiltration by histiocytes with hemosiderin laden macrophages,,2,
6243,Pathology,CVS,"First enzyme to be raised in Ml is - (Al ,)",CPK-MB,LDH,Myoglobin,Troponin-1,,3,
6244,Pathology,CVS,"Post -Ml, on 10th day which enzyme is raised? (Al ,)",LDH,CPK,Troponin,Myoglobin,,1,"Robbins 9th/e p. 547 & 8th/e p. 555-556]LDH is the onlymarker which remains elevated even after 10 days."
6245,Pathology,CVS,In stable angina - (AllMS Nov05),CK-MB is elevated,Troponin-T is elevated,Myoglobin is elevated,The level of cardiac markers remain unchanged,,4,"Robbins 9th/e p. 547 &8th/e p. 546]Cardiac markers are intracellular molecules that leak out of dead necrotic cells.In angina, there is transient ischemia which does not cause cell death (necrosis) so, cardiac markers remain intracellular and there is no elevation in serum levels of cardiac markers."
6246,Pathology,CVS,Recurrent ischemic events following thrombolysis has been pathophysiologically linked to which of the following factors?,Antibodies to thrombolytic agents Al 05,Fibrinopeptide A,Lipoprotein LpA,Triglycerides,,2,"Fibrinopeptide leveIt is a useful criteria for estimating ongoing or recurrent clot formation.It helps in identifying risk patients for complication of continuing or repeated coronary thrombosis.Fibrinopeptide A is a product of proteolysis of fibrinogen by thrombin.It is increased in :-Disseminated intravascular coagulationArterial thrombosisCoronary artery diseaseDeep vein thrombosisMalignancy"
6247,Pathology,CVS,"Fatalarrythmias are seen if myocardial infarction is - (Al ,",Posterior,Inferior,Anterolateral,Subendocardial,,2,
6248,Pathology,CVS,Autopsy finding after 12 hrs in a case of death due to -,Caseous necrosis,Coagulative necrosis,Fat necrosis,Liquefactive necrosis,,2,
6249,Pathology,CVS,"Creatine kinase is elevated in Ml after- (Al ,)",2-4 hrs,4-8 hrs,12-24 hrs,24 hrs,,1,
6250,Pathology,CVS,"7daysoldMlthemostsensitivebiochemicalmarker-(Al ,)",Troponin-T,CPK-MB,LDH,Myoglobin,,1,"Robbins 9th/e p. 547 & 8th/e p. 555-556] Troponin Tor lisa sensitive marker and return to normal after 7- 10 days."
6251,Pathology,CVS,Troponin-T is a marker of - (AllMS May 04),Renal diseases,Muscular dystrophy,Cirrhosis of liver,Myocardial infarction,,4,
6252,Pathology,CVS,"A 10-year-old boy, Pappu, died of acute rheumatic feverAll the following can be expected at autopsy except- (Al 02)",Aschoff's nodules,Rupture of chordae tendinae,McCallum patch,Fibrinous pericarditis,,5,
6253,Pathology,CVS,"What is the mechanism of acute rheumatic fever?(AllMS May 10, Recent exam 2017,16)",Cross reactivity with endogenous antigen,Innocent bystander effect,Due to toxin secretion by streptococci,Release of pyrogenic cytokines,,1,
6254,Pathology,CVS,"The probable interval between throat infection and onset of rheumatic fever is -	(Recent exam 2017)","2-4	hours","2-4	days","2-4	weeks","2-4	months",,5,
6255,Pathology,CVS,"Which is not seen in Aschoff bodies? (Al ,)",Giant cells,Aschoff cells,Fibroblasts,Polymorphonuclear cells,,4,"Robbins 9th/e p. 558 & 8th/e p. 565; Chandrasoma Taylor 3rd/e p.347]Aschoff's bodiesThey are focal inflammatory lesions seen during acute rheumatic fever.They consist of foi of swollen eosinophilic collagen surrounded by-Lymphocytes (T-cells)	fPlasma cellsAschoff giant cellsAnitschkow cellsHistiocytesFibroblasts"
6256,Pathology,CVS,Most common valve involved in rheumatic fever-,Mitral,Aortic,Pulmonary,Tricuspid,,1,"Robbins 9th/e pâ€˜. 559 & 8th/e p. 566; Textbook of Cardiology 2nd/ep.877] In rheumaticfever:Commonest valve to involve is mitral valve > aortic valve.Least frequently involved value is pulmonary valve"
6257,Pathology,CVS,ASLO titres are used in the diagnosis of - (DNB June 08),Acute rheumatoid arthritis,Acute rheumatic fever,Ankylosing spondylitis,Osteoarthritis,,2,
6258,Pathology,CVS,Aschoff's nodules are seen in - (Al 05),Subacute bacterial endocarditis,Libman-Sacks endocarditis,Rheumatic carditis,Non-bacterial thrombotic endocarditis,,3,
6259,Pathology,CVS,"Following are major criteria of rheumatic fever, except -",Chorea,Arthritis,Carditis,Prolonged P-R interval,,4,
6260,Pathology,CVS,Contents of Aschoff's nodules are all except - (AllMS June 97),Histiocytes,Langhan's giant cell,Fibrinoid deposition,Aschoff's cells,,5,
6261,Pathology,CVS,Which is not major criteria for diagnosis of rheumatic fever?,Carditis,Subcutaneous nodules,Increased ASLO,Arthritis,,3,
6262,Pathology,CVS,"Aschoff's bodies in rheumatic heart disease will show all of the following features, except-	(AllMSNov02)",Anitschkow cells,Epithelioid cells,Giant cells,Fibrinoid necrosis,,2,
6263,Pathology,CVS,"McCallum's patch is diagnostic of - (Al ,)",Infective endocarditis,Rheumatic endocarditis,Myocardial infarction,Tetralogy of Fallot ToF,,2,
6264,Pathology,CVS,Characteristic feature of rheumatic carditis is - (Al 99),Pericarditis,Endocarditis,Myocarditis,Pancarditis,,4,
6265,Pathology,CVS,Aschoff's bodies are seen in - (DNB June 07),Rheumatic myocarditis,Rheumatic arthritis,Bacterial endocarditis,Marantic endocarditis,,1,"Robbins 9th/e p. 558 & 8th/e p. 565] Aschoff's bodies are characteristically seen in myocardium (myocarditis)"
6266,Pathology,CVS,Diagnostic feature in rheumatic heart disease is - (Al 97),Aschoff's nodule,McCallum's patch,Bread and butter pericarditis,Shaggy vegetation,,5,
6267,Pathology,CVS,Valve usually not involved in rheumatic fever-,Mitral,Aortic,Pulmonary,Tricuspid,,3,
6268,Pathology,CVS,patientwith- (AllMSMay05),Small VSD,Severe aortic regurgitation,Severe mitral regurgitation,Large ASD,,4,
