S.No,System,Question,1,2,3,4,,Ans,Explanation
852,GIT,Intestinal juice contains:,Enzymes released in response to vagal activity,Saccharidases,Potassium equal in concentration to E.C.F,A substance which activates trypsinogen,,4,
853,GIT,Substances in the small intestine which activates trypsinogen:,Erepsin,Enterokinase,Aminopeptidases,Dipeptidases,,2,
854,GIT,Which of the following enzyme is secreted by intestine?,Trypsin,Elastase,Dipeptidase,Phospholipase A2,,3,Also called erepsin secreted by intestinal mucosa. It is a proteolytic enzymes.
855,GIT,Enzyme not responsible for splitting disaccharides into monosaccharides:,Invertase,Maltase,Lactase,Erepsin,,4,
856,GIT,Intestinal juice secretion is controlled by:,Vagus nerve,Gastric inhibitory peptide,Motilin,Mechanical stimulation,,4,
857,GIT,All of the following except one can cause increased secretion of intestinal juice.,Ingestion of a meal,Distension of small intestine,Vagal nerve stimulation,Irritation of small intestinal mucosa,,3,
858,GIT,"Surgical removal of about 90% of the ileum and jejunum tends to cause all, except",Steatorrhoea,Osteomalacia,A fall in extracellular fluid volume,Anaemia,,3,
859,GIT,Change associated with gastro-colic fistula are all except:,Pernicious anaemia,Marked muscular weakness,Oedama,Food passes from stomach to colon via small intestine,,4,
860,GIT,Coeliac disease is characterized by:,Congenital absence of enzyme gluten hydrolase from small intestine,Food by passing directly fron the stomach into the transverse colon,Fat indigestion,Fatty infiltration of liver,,1,
861,GIT,"In distal ileum resection, following are seen except:",B12 deficiency,Iron deficiency,Decreased absorption of bile salts,Diarrhoea,,2,
862,GIT,False about ileum and jejunal resection:,Results in pale bulky stools,Osteomalacia,Steatorrhoea,Rise in prothrombin time,,4,
863,GIT,Resection of which part of GIT produces greater degree of malabsorption?,Oesophagus,Stomach,Jejunum,Ileum,,4,
864,GIT,Not true of intestinal adaptation which is seen following resection of short segment of small intestine:,Capacity of ileum to adapt is less than that of jejunum,Compensatory hypertrophy of remaining mucosa,Causes gradual return of absorption function,GIT hormones are responsible for it,,1,
865,GIT,Massive (> 50%) small bowel resection the intestine compensate by:,Lengthened individual villi,Increased enzymes,Increase number of villi,Increased life span of absorptive cells,,1,
866,GIT,Following are the movements of small intestine except:,Peristalsis,Segmentation,Pendular,Mass peristalsis,,1,
867,GIT,Rhythmic segmental contraction - not true is:,Involves a localised segment of 1-2 cm,Causes food to be divided and mixed together with digestive juices,Initiated in 2nd part of duodenum,Frequency of those contraction is not related to the slow- waves spike,,4,
868,GIT,The rhythmic contraction in GIT is highest in:,Stomach,Duodenum,Iieum,Colon,,2,
869,GIT,Small intestinal motility increased by :,Gastrin,Secretin,Glucagon,GIP,,1,
870,GIT,All of the following statements regarding small intestinal motility are true except:,Completely dependent on stomach motility,CCK-PZ increases small intestinal motility,Abdominal distension increases motility,Increased motility by acetly choline,,1,
871,GIT,Peristalsis movements of small intestine are characterized by all except:,Also called vermicular movements,Can occur in either direction from a stimulated point,Propel the intestinal contents towards ileo-caecal valve,Pass along the intestine at a rate of 1-2 cm/sec,,4,
872,GIT,The usual stimulus of peristallsis is :,Distension,Sympathetic stimulation,Acid chyme,Alkaline chyme,,1,
873,GIT,Chyme is propelled forward in small intestine by :,Segmentation,Haustrations,Migratory motor complexes (MMC),Peristalsis,,4,
874,GIT,"Peristallsis may be initiated by all of the following, except:",Inhibitors of striated muscle contraction,Distension of the gut wall,Irritation of the  mucosa,The composition of the chyme,,1,
875,GIT,Small intestinal peristalsis is dependent upon the integrity of :,Myenteric nerve plexus,Meissner's nerve plexus,Sympathetic nervous system,Parasympathetic nervous system,,1,
876,GIT,Severe irritation of the mucosal lining of small intestine may cause:,A stop in the propulsion of chyme,Intestinal obstruction,The chyme of move more slowly to reduce the irritation,"A ""peristalic rush"" to quickly move the chyme into the colon",,4,
877,GIT,Adynamic (paralytic) ileus is caused by all except:,Handling of intestine,Trauma to intestine,Increased discharge of nor-adrenergic fibers in splanchnic nerves,Local mechanical obstruction,,4,
878,GIT,Irregular distension of small intestine with retention of contents most likely seen in:,Coeliac disease,Gastro-colic fistula,Paralytic ileus,obstruction of small intestine,,3,
879,GIT,Not true of gastro-ileal reflex:,"When food leaves the stomach, reflex relaxation of ileum occurs",Passage of chyme through ileo-caecal valve increases,A vagally mediated reflex,Sympathetic stimulation inhibits the reflex,,1,
880,GIT,Which of the following contractions are not seen in the colon?,Segmental,Peristaltic,Mass action,Eccentric,,4,[ This is characteristic of small intestine contractions and concerned with mixing of food.]
881,GIT,Mass action contractions are commonly seen in which part of GIT?,Oesophagus,Stomach,Small intestine,Colon,,4,
882,GIT,Mass movement of the colon would be abolished by:,Extrinsic denervation,Distension of the colon,Gastrocolic reflex,Destruction of Auerbach's plexus,,4,[ It controls GIT motility ]
883,GIT,Predominant contraction force in colon during defecation is:,Mass action,Segmental,Peristaltic,Eccentric,,1,
884,GIT,Colonic contraction paticularly evident following a meal is:,Segmental,Peristaltic,(a) and (b) both,Mass action,,3,
885,GIT,Maximum postprandial motility is seen in:,Ascending colon,Transverse colon,Descending colon,Sigmoid colon,,3,Maximum postprandial increases in motility is seen in proximal part of descending colon
886,GIT,"In infants, defecation often follows a meal. Most likely cause will be:",Increased circulatory levels of CCK,The gastro-ileal reflex,The gastro-colic reflex,The entero-gastric reflex,,3,
887,GIT,"The first part of test meal reaches the caecum in about ‰Û_ hours, the hepatic flexure In ‰Û_ hours, the splenic flexure in ‰Û_ hours and sigmoid colon in ‰Û_ hours:","4, 6, 9, 12","6, 9, 12, 16","2, 4 , 6, 8","2, 6, 8, 12",,1,
888,GIT,Transit time is slowest in:,Stomach,colon,Jejunum,Ileum,,2,"Transit time in hours: stomach (2-4), small intestine (3-5) and colon (10)"
889,GIT,"Following a test meal, total recovery of the substance in stool requires:",1 day,3 days,5 days,More than 7 days,,4,
890,GIT,The usual cause of aganglionic megacolon (Hirschsprung's diseases):,Infection in the colon,Excessive parasympathetic stimulation,Excessive sympathetic stimulation,Congenital absence of the myenteric plexuse in distal colon,,4,Commonly seen in children
891,GIT,Hirschsprung's disease is due to:,Loss of ganglion cells in sympathetic chain,Failure of migration of neural crest cells from cranial to caudal direction,Atrophy of longitudinal muscles,Loss of vagal innervation of myenteric plexus,,2,
892,GIT,Not true aganglionic megacolon:,Commonly seen in children,Associated with mutation in endothelin B receptors,A person may defecate only once in every 3 weeks,Site of involvement usually is proximal colon,,4,[Site of involvement  is  usually distal colon and pelvic-rectal junction.]
893,GIT,Defecation is severely impaired if:,Meissner's plexus is destroyed,Myenteric plexus is destroyed,Both the above plexuses need to be destroyed together,A perrson is dehydrated,,2,
894,GIT,Most common cuase of constipation is:,Neglected calls to defecate,Mechanical obstruction to large intestine,Presence of some toxic substances in the colon,Degeneration of myenteric plexus,,1,[ All are the causes of constipation but (a) is most common and frequently seen cause
895,GIT,In servere diarrhoea which is not seen:,Serum K+ level declines,Intravenous infusion should be given rapidly,Blood pressure declines and pulse rate increases,Disturbances in Meissner's plexus,,4,
896,GIT,"A patient suffering from severe diarrhoea characteristically has all, except:",A decrease in the potassium content of the body,A decrease in the sodium content of the body,Decreased E.C.F.V.,An alkalosis rather than acidosis,,4,
897,GIT,The first urge to defecate occurs when rectal pressure increasses to:,10 mmHg,20 mmHg,40 mmHg,80 mmHg,,2,
898,GIT,It is not possible to suppress defecation reflex voluntarily once rectal pressure increase beyond:,25 mmHg,35 mmHg,45 mmHg,55 mmHg,,4,
899,GIT,True about defecation reflex is:,Purely a voluntary reflex,An involuntray reflex,Parthy a voluntary and partly in involuntary reflex,A spinal reflex,,4,
900,GIT,"Which doing sigmoidoscopy, if the rectum is inflected with gas, increased peristalsis is seen in:-",Whole colon,Proximal colon,Distal colon,Whole intestine,,3,Distension of rectum initiates defecation reflex
901,GIT,Complete transection of spinal cord causes:,Retention of faeces,Defecation reflex persists,Voluntary defecation never possible,Reflex evacuation of rectum occurs when rectal pressure increases to 20 mmHg,,3,
902,GIT,The large intestine absorbs all except:,Water,Minerals,Glucose,Protein,,4,
903,GIT,Removal of the entire colon would be expected to cause:,Death,Electrolyte imbalance,Megaloblastic anaemia,Severe malnutrition,,2,
904,GIT,Digestive enzyme secreted in the colon is:,Alkaline phosphatase,Lipase,Enterokinase,None,,4,[No digestive enzymes are secreted in the colon.]
905,GIT,Microoragaism normally not present in the colon includes:,Escheria coli,Enterobacter aerogenes,Gas gangrene bacilli,Tetanus toxin bacteria,,4,
906,GIT,Which of the following is not the primary function of gut flora:,Fermentation of mucus,Decrease plasma cholestrol,Synthesis of vitamin K,Acidic stools,,1,
907,GIT,Which of the following is not a function of gut flora:,Acidic stool,Production of vitamin K,Decreased proliferation pf epithelial cells,Synthesis of short chain fatty acid,,3,
908,GIT,Daily production of volume of gas in human GIT is:,200-500 ml,500-1500 ml,1500-2000 ml,More than 200 ml,,2,
909,GIT,The term borboryagmi refers to:,Gas in the intestine,Rumbling noises in intestine,Abdominal discomfort,Flatus,,2,[This is due to production of large amount of gas in the GIT.]
910,GIT,Colonic bacterial flora synthesize all of following except:,Vitamin B-complex,Vitamin K,Folic acid,Vitamin D,,4,
911,GIT,Foul smell in the flautus is largely due to:,Nitrogen,Carbon dioxide,Methane,Hydrogen sulphide,,4,
912,GIT,Characteristic odour of the faeces is due to:,Carbon dioxide,Nitrogen,Methane,Indole,,4,
913,GIT,Faeces are mainly derived from:,Ingested food,Intestinal secretion,Dead colonic bacterial flora,Undigested food products,,2,[Also partly derived from the ingested food.]
914,GIT,Brown colour of the faeces is due to:,Sulphides,Indole,Pigments formed by intestinal bacteria,Bilirubin,,3,"[When bile fails to enter the intestine , stools become white (acholic stool.]"
915,GIT,Solids comprise ‰Û_ of tota faeceal matter weight:,25%,50%,75%,Above 75%,,1,
916,GIT,Following onstitute dietary fibers except:,Pectin,Cellulose,Hemicellulose,Riboflavin,,4,
917,GIT,True about dietary fiber:,Soluble fiber  metabolism of sugar in GIT,Only soluble fibers are included in diet,GIT transit time,Not prevention against colonic cancer,,1,
918,GIT,Which of the following plant components is not fermented by gastrointestinal icroorganisms:,Lignin,Cellulose,Hemicellulose,Pectin,,1,
919,GIT,Man is unable to digest dietary:,Glycogen,Dextrin,Saccharose,Cellulose,,4,
920,GIT,High fiber diet helps reducing in all of the following except:,Postprandial hyperglycemia,Blood cholesterol,intestinal motility,Cancer of colon incidences,,3,[ High fiber diet by increasing intestinal bulk stimulate intestinal peristalsis.]
921,GIT,Which of the following is not a metabolic disorder?,Atherosclerosis,Hypercholesterolaemia,Diabetes mellitus,Diabetes insipidius,,4,
922,GIT,Dietary fiber decreases the incidence of cancer of colon by all of the following except:,Dilution of carcinogen,Reducing duration of contact between carcinogen and colonic mucosa,Binding of carcinogen,Killing carcinogens,,4,Natural killing of Killing carcinogens within GIT is not known.
923,GIT,True about High roughage in diet is:,Decreases stool transit time,Increase stool transit time,Normalise stool transit,No effect on stool transit time,,1,
924,GIT,"In individual with low dietary fiber fiber intake, capacity to break down cellulose:",Increases,Decreases,Either increases or decreases,No change from the normal,,1,
925,GIT,Which of the following is not a polysaccharide?,Strach,Cellulose,Glycogen,Beet sugar,,4,[Beet/cane sugar is disaccharide]
926,GIT,Which is not a disaccharide?,Sucrose,Lactose,Galactose,Maltose,,2,{It is monosaccharide]
927,GIT,Which sugar is not ingested as such?,Galactose,Glucose,Pentoses,Cellulose,,1,
928,GIT,Not a true statement with regard to pancreatic ÌÊ-amylase:,Rapidly converts all forms of starch into maltose,Acts in the alkaline medium,Its digestive activity is increased by presence of bile salts,It may hydrolyse some sucrose,,4,
929,GIT,"In the small intestine, surose hydrolizes to from:",Glucose and fructose,Two glucose molecules,Glucose and galactose,Galactose and glucose,,1,
930,GIT,Range of optimal pH for activity of disaccharidases is approximately:,01-Feb,03-Apr,05-Jun,07-Aug,,3,
931,GIT,Digestion of carbohydrates is maximum in:,Stomach,Duodenum,Jejunum and proximal ileum,Distal ileum,,3,
932,GIT,Malabsorption of sucrose results in:,Milk intolerance,Intolerance to curd,Fermentive diarrhoea,Steatorrhoea,,3,
933,GIT,The absense of lactase in the intestine would caouse failure to digest completely:,Fruits,Beet,Milk,Table sugar,,3,
934,GIT,Congenital absence of lactase results in all except:,Characterized by intolerance to milk,Results in diarrhoea following lactose ingestion,Most frequently observed in infants,intolerance to curd,,4,
935,GIT,Mostnotable end product of carbohydrate digestion is:,Fructose,Glucose,Galactose,Pentoses,,2,
936,GIT,Monosaccharides are mainly absorbed from the:,Stomach,Jejunum,Upper ileum,(b) and (c) both,,4,
937,GIT,The final sugars in intestinal chyme are:,Glucose and fructose,Ribose and mannose,Ribose amd xylulose,Xylulose and fructose,,1,
938,GIT,Glucose is transported to cell by:,Na+ symport,K+ symport,Na+ anteport,K+ anteport,,1,
939,GIT,The only sugar normally absorbed by the intestine against a concentration gradient is:,Mannose,Glucose,Ribose,Galactose,,2,
940,GIT,Not true about sodium dependent gluecose transporter-1 is:,Requires no energy,Glucose and sodium share the same carrier,Occurs by way of simple diffusion,An example of secondary active transport,,4,
941,GIT,Active glucose transport mechanism dependent on:,Presence of Na+,Electrical activity of cell,ATP,SGLT - 1,,4,
942,GIT,A newborn child is suffering from severe diarrhoea that worsen with meals. The symptoms decrease when nutriets are administered intravenously which of following intestinal transpoters is most likely have been to mutated?,Na - K  ATpase,SGLT - 1,H+ - K+ ATpase,GLUT-2,,2,
943,GIT,Maximum rate of glucose absorption from the GIT is approximately:,80 gm/hour,100 gm/hour,120 gm/hour,140 gm/hour,,3,
944,GIT,For alimentary glycosuria not true is:,Appears after ingestion of high carbohydrate diet,Occurs in normal persons,Occurs in individuals with mild diabetes mellitus,Occurs in GIT disturbances,,4,
945,GIT,For of absorption of monosaccharides from small intestine is:,Fastest with fructose,Slowest with galactose,Intrmediate with glucose,Variable,,4,
946,GIT,Intestinal absorption is faster for:,Hexoses,Dissacharides,Pentoses,Polysaccharides,,1,
947,GIT,Rate of glucose absorption from the GIT is increased by all except:,Insulin,Thyroxine,Glucocorticoids,Growth hormone,,1,
948,GIT,In triglycerides the number of fatty acids are:,2,3,5,7,,2,
949,GIT,"Cholesterol, though does not contain fatty acid, is considered as fat because of all of the following except:",Derived from fats,Metabolized similarly to fats,Physical and chemical characteristics of fats,Stored in fat depot,,4,
950,GIT,Fat of food consists mainly of:,Compund fats,Natural (simple) fats,Associated fats,Cholesterol easters,,2,
951,GIT,Salivary lipase can digest as much as ‰Û_% of dietary triglyerides:,5,10,20,30,,4,
952,GIT,Not true of gastric lipase:,A weak fat splitting enzyme,Acts as an optimal pH 4-4.5,Inactivated at pH 2.5,Secreted in small amounts,,4,
953,GIT,"Fat digestion can occur in stomach, not a true statement:",When pancreatic lipase regurgitate from duodenum,In achlorhydria,In infats,No fat digestion occurs here,,4,
954,GIT,Optimal pH fo pancreatic lipase action:,5,6,7,8,,3,
955,GIT,Lipase cannot act on:,Fat droplets,Emulsified fats,Trigycerides,Diglycerodes,,1,
956,GIT,Micelles contains all except:,Electrolytes,Fatty acids,Bile salts,Diglycerodes,,4,
957,GIT,Micelle formation is necessary for absorption of:,Bile salts,Iron,Cholesterol,Vitamin B12,,3,
958,GIT,Fat concentration in micelles is:,5%,10%,20%,Variable,,4,
959,GIT,A large greasy smelly stool usually indicates failure of digestion of:,Carbohydrates,Fats,Proteins,Dietary fibers,,2,
960,GIT,Steatorrhea is of severe intensity if it is due to:,Liver insufficiency,Biliary obstruction,Destrection of exocrine protion of the pancreas,Malabsorption syndrome,,3,
961,GIT,Chylmicrons function is:,Transport lipid,Lipid storage,Emulsification of fats,Lipid excretion,,1,
962,GIT,Monoglycerides and fatty acids with more than 14C atom in intestine are absorbed into:,Portal vein,Intestinal lymphatics,Both (a) and (b),Blood capillaries directly,,2,
963,GIT,Chylomicron composed of protein around a core of:,Triglycerides only,Triglycerides phospholipids and cholesterol,Phospholipids,Triglycerides and cholesterol,,2,
964,GIT,Protein content of chylomicron is ‰Û_ %:,0.5,1,2,5,,5,
965,GIT,Free fatty acids differ from esterified fatty acid in all of the following except that in the former:,Are fatty acids with > 14C atoms,Pass directly from mucosal cell into the blood capillaries,Also called non-esterified fatty acids,Bound to album in the blood stream,,2,
966,GIT,Fat absorption is greatest in:,Duodenum,Proximal portion of small intestine,Distal ileum,Equal in all parts of the small intestine,,2,
967,GIT,"Cholesterol absorption from the small intestine requires all, except:",Bile,Fatty acids,Pancreatice juice,Monoglyerides,,4,
968,GIT,"On a moderate ft intake, a normal healthy individual is expected to excrete ‰Û_% of fat per day in faeces:",01-Feb,03-Apr,05-Jun,07-Aug,,3,
969,GIT,"In infants, ‰Û_ % of ingested fat gets excreted in stool daily:",05-Jun,07-Oct,15-Oct,15-20,,3,
970,GIT,Normal range of serum triglyceride concentration is:,10-30 mg/dL,30-150 mg/dL,150-240 mg/dL,More than 240 mg/dL,,2,
971,GIT,Fat is stored in adipose cell as:,Lipoprotein complexes,Tryglycerides,Esterified fatty acids,Phospholipids,,2,
972,GIT,"In stomach, proteins get digested to from:",Amino acids,Small polypeptides,Large polypeptides,Nucles portein,,3,
973,GIT,What precentage of ingested protein in broken down completely in the stomach?,10%,30%,50%,100%,,1,
974,GIT,In human the first enzyme to act on milk is:,Pepsin,Rennin,Trypsin,Enterokinase,,1,
975,GIT,Which of the following would be expected to be deficient in a child with congenital absence of enterokinase?,Protein assimilation,Bile acid absorption,Glucose absorption,Gastric pH,,1,
976,GIT,Ezyme responsible for the final release of amino acids from parent polypeptides is:,Trypsin,Chymotrypsin,Pepsin,Polypeptidase and dipeptidases,,4,
977,GIT,End products of nucleoprotein digestion is:,Nucleoprotein complexes,Free nucleic  acids,Nucleotides and Nucleosides,purine and pyramidines,,4,
978,GIT,Amino acids are transported in blood mainly in the form of:,Plasma proteins,Lipoproteins,In combination with a carbohydrate carrier,Amino acids themselves,,4,
979,GIT,Absorption of amino acids:,Occurs from the 1st part of duodenum,Occurs from the 2nd part of duodenum,Upper Jejunum,Coupled to sodium transport,,4,Absoption of amino acids is rapid in the duodenum and jejunum but slow in ileum.]
980,GIT,Not true of protein digestion and absorption:,"Of the total protein digested, 50% come from digestive juices",Upto 2-5% of the protein in small intestine escapes digestion and absorption,Some of percentage of proteins also gets digested in the colon by baterial action,Proteins in stools mainly comes from bacterial and cellular debris,,1,
981,GIT,Allergic symptoms that may develop after earing certain foods are due to:,Bacterial infection,Absorption of foreign proteins,Lowered immunity,Specially eating pulses,,2,These are specially with cow milk and egg.
982,GIT,Total fluids presented to the GIT per day are:,3L,5L,7L,9L,,4,
983,GIT,Daily secretions of gastrointestinal tract amount to:,7000 ml,4000 ml,2000 ml,1000 ml,,1,
984,GIT,Daily fluid loss in stool is:,200 ml,500 ml,700 ml,1000 ml,,1,
985,GIT,Arrange the following I order of the amount of water absorbed or excreted from greatest to smallest:,"Colon, ileum, Jejunum","Jejunum, ileum, colon","Colon, Jejunum, ileum","ileum, Jejunum, colon",,2,
986,GIT,The amount of water absorbed in the intestine in a day is:,5 lit.,1 lit.,10 lit.,8 lit.,,4,
987,GIT,Wtaer absorption is mainly a function of:,Stomach,Duodenum,Small intestine,Colon,,3,
988,GIT,Maximum absorption of water occurs in:,Stomach,lleum,Colon,Jejunum,,4,
989,GIT,Resection of which intestinal segment causes marked electrolyte imbalance:,Duodenum,Jejunum,Iieum,Sigmoid,,2,
990,GIT,Which of the following is the fastest to be absorbed from the stomach?,Carbohydrates,Proteins,Fats,Water,,4,
991,GIT,Sodium absorption from the small intestine is by all except:,Diffusion,Na+ - K+ pump,Active transport,GLUT-2,,4,
992,GIT,Active transport of Na+ in small intestine helps in the absorption of:,Glucose,Amino acids,Both (a) and (b),Fatty acids,,3,
993,GIT,Which of the following changes in intestine transport are likely to occur in an individual suffering from severe diarrhoea?,increased K+ secretion into the colon,decreased K+ absorption in the small intestine,increased Na+ absorption in the small intestine,increased CI- secretion into the intestine lumen.,,4,
994,GIT,Oral administration of salt and glucose together is helpful in tratment of diarrhoea because:,Na+ helps in absorption of glucose from small intestine,presence of glucose in intestine facilitates the absorption of Na+,Both (a) and (b) are true,Separate administration of Na+ and glucose is more beneficial,,3,
995,GIT,Colonic fluid loss in chronic diarrhoea restults in:,Pernicious anaemia,Dehydration,Hypertension,Severe hypokalemia,,4,
996,GIT,Potassium is secreted in to GIT mainly in:,Stomach,Jejunum,Iieum,Colon,,4,
997,GIT,Maximum pottassium ions are present in:,Colon,Jejunal secretion,Stomach,Saliva,,1,
998,GIT,A Great number of vitamins are absorbed from the:,Upper small intestine,Iieum,Caecum,Transverse colon,,1,
999,GIT,Active transport of Ca2+ is facilitated from the inestine by all of the following except:,Protein,Phosphate,Vitamin D,Lactase,,2,
1000,GIT,A normal healthy 40 years old woman wishes to ensure adequate availability  of dietary calcium for her bone health later in life. Which of the following dietary components should facilitate calcium uptake?,Lactase,Excess of Ca2+,Phosphate,oxalate,,1,
1001,GIT,Calcium absorption in GIT is increased in:,Acidic pH,Alkaline pH,Neutral pH,Not effected by pH changes,,2,
1002,GIT,Which of the following is absorbed in upper portion of small intestine?,Iron,Electrolytes,Bile salts,Vitamin B12,,1,
1003,GIT,The amount of iron lost from body per day is ‰Û_.mg:,0.01-0.05,0.5-1.0,05-Oct,20-15,,2,
1004,GIT,Average iron intake per day is approx:,5-10 mg,10-15 mg,15-20 mg,20-25 mg,,4,
1005,GIT,Iron is absorbed almost entirely in:,Stomach,Duodenum,lleum,Colon,,2,[Also from the Jejunum.]
1006,GIT,Iron  absorption is increased by :,Vitamin C,Phytic acid,Fibre diet,Phosphate,,1,
1007,GIT,Iron absorption is decreased by all of the following except:,Phytates,Vitamin C,Phosphate,Taurine,,2,
1008,GIT,Iron binding protein is:,Ferritin,Hemosiderin,Apoferritin,Ceruloplasmin,,1,
1009,GIT,"After absorption, iron in blood is:",Apoferritin,Ferritin,Transferrin,Ceruloplasmin,,3,
1010,GIT,Iron is stored in the body in the following except:,Tissue macrophages,Spleen,Gall bladder,Bone marrow,,3,
1011,GIT,The principle storage from of iron in tissues:,Ferritin,Hemosiderin,Transferrin,Apoferritin,,1,
1012,GIT,What percentage of total body iron is in the haemoglobin?,3%,27%,50%,70%,,4,
1013,GIT,Normal plasma iron level is:,30-60 åµg/dL,60-160 åµg/dL,160-250 åµg/dL,250-400 åµg/dL,,2,
1014,GIT,Not characteristic of iron overload on the body is:,Skin pigmentation,Bronze diabetes,Cirrhosis of liver,Cyanosis,,5,
1015,GIT,The following hormones are secreted locally in gut except:,Gastrin,Enterogastrone,Secretin,Calcitonin,,4,It is secreted by thyroid 'C' cells
1016,GIT,Which is not an action of gastric inhibitory peptide?,Relaxes gastric sphincters,Inhibits gastric juice secretion,Increases insulin secretion,Also called glucose-dependent insulinotropic polypeptide,,1,
1017,GIT,Which is not a function of vasoactive intestinal peptide?,Inhibits gastric acid secretion,Inhibits motility of the intestine,Stimulates intestinal secretion,Constricts peripheral blood vessels,,4,
1018,GIT,Which of the following is not a neuro-transmitter in G.I.T.?,Cholecystokinin,Substance P,Gastrin releasing peptide,Neuropeptide Y,,4,It is present in many part of brain.
1019,GIT,Motilin:,Produced by the ileum,Inhibits GIT motility,Increases ileal blood flow,Regulates intestinal motility during inter-digestive phase,,4,[ motility is produced by cell in the duodenal mucosa.]
1020,GIT,Not true of somatostatin:,It is a growth hormone inhibiting hormones,Inhibits gastric acid secretion,Stimulates GIT motility,Its secretion increases  by acid in the stomach,,3,
1021,GIT,Following are GIT hormones except:,CCK-PZ,GIP,Motilin,Chymotrypsin,,4,It is pancreatic juice enzyme
1022,CVS,The human heart weighs approximately:,100 gm,300 gm,500 gm,700 gm,,2,
1023,CVS,Work performed by the left ventricle is greater than that performed by the right ventricle because:,Velocity of blood flow is greater,Stroke volume is more,Systemic arteries offer greater resistance to blood flow,Pressure in the left atrium is less,,3,
1024,CVS,Work performed by the left ventricle is greater than that performed by the right ventricle because in the left ventricle:,The wall is thicker,The preload is greater,The stroke volume is greater,The after load is greater,,4,
1025,CVS,Left ventricle (LV) has more mass compared to right ventricle (RV) because:,Left coronary artery supplying by left ventricle has a greater flow,LV does more work to propel the blood compared to the RV,RV consists of 4 groups of fibers whereas RV consists of 2 groups of fibers only,By the nature of hereditary,,2,
1026,CVS,"In foetal life, the ratio of thickness of left ventricle wall to right ventricle wall is :",0.5,1,2,3,,2,
1027,CVS,In a normal healthy adult individual left ventricle to right ventricle wall thickness is:,1:03,3:01,2:03,3:02,,2,
1028,CVS,"Systemic organs have the same arterial composition of pO2, pCO2, pH etc. because:",They receive blood through parallel arrangement of blood vessels,They receive blood through series arrangement of blood vessels,Of phenomenon of autoregulation,Perfusion pressure is the same in all these organs,,1,"[This is true, in spite of the fact that the two ventricles are connected in series.]"
1029,CVS,"In healthy individuals, the pulmonary and systermic circulation have the same:",Mean pressure,Vascular resistance,Compliance,Flow per minute,,4,
1030,CVS,Endocardium means:,Muscles of the heart,Pacemaking and conducting system,Double layered structure that encloses the entire heart,Endothelial lining the cardiac chambers,,4,
1031,CVS,Which is a false statement regarding the pericardial fluid?,It is normally 150-300 ml of clear fluid contained in the pericardial cavity,It lubricates the heart and provides nutrition to the myocardium,It permits the heart to contract with minimal friction,It protects the heart from external injury,,1,[ It normally is 5-30 ml.]
1032,CVS,A-V  valve on the right side of heart is:,Mitral valve,Tricuspid valve,Aortic valve,Pulmonary valve,,2,
1033,CVS,All statements are true about A-V valves except:,These valves close and open passively with the pressure gradient forces,They prevent the backward flow of blood form ventricles to atria during ventricular systole,Opening of these valves is responsible for the first heart sound,Chordae tendinae are attached to the free edges of the valve flaps,,3,
1034,CVS,Papillary muscles:,Helps in closure of A-V valves,Helps in opening of A-V valves,Originates from the chordae tentinae,Prevents  the bulging of A-V valves into atria during ventricle contraction,,4,
1035,CVS,Rupture of chordae tendinae:,Helps the A-V valve to close,Prevents  the bulging of A-V valves into the  atria during ventricle contraction,Causes regurgitation of blood into the atria  during ventricullar systole,Has no effect on haemodynamics of circulation,,3,
1036,CVS,Semilunar valves:,Consists of two flaps/cusps,Are so called because of half moon shaped appearance,Are stricupid and mitral valves,Close and open actively,,2,
1037,CVS,Example of bicuspid valve is:,Tricuspid valves,Mitral valve,Pulmonary valve,Aortic valve,,2,
1038,CVS,All are the examples of pacemaker tissue of the heart except:,S-A node,A-V node,Ramification of bundle of His,Internodal atrial pathways,,4,
1039,CVS,SA node is approximately ‰Û_....mm wide:,1,2,3,4,,2,[ S.A node is 15 mm (L)*2 mm(W) *1 mm(T).]
1040,CVS,The following statements are true regarding the SA node except:,Is located at the right border of the ascending aorta,It contains specialized nodel cardiac muscle,It is supplied by the arterial branches of the right coronary artery,It initiates cardiac conduction,,1,
1041,CVS,Which is not true about the S-A node?,Located posteriorly on right side of interatrial septum,Innervated by right vagus nerve,Initiate the impulses more rapidly than any other pacemaker tissue,More embryonal in character,,1,
1042,CVS,S-A node is called the cardiac pacemaker because of its:,Neural control,Location in atrium,Strength of impulse formation,Rate of impulse formation,,4,
1043,CVS,Sino atrial node (SAN) is called cardiac pacemaker because:,It allows almost immediate transmission of cardiac impulse throughtout the entrie ventricular system,It is capable of generation of impulse and conduction of the heart beat,It determines the rate at which the heart beats,The speed of conduciton of impulse is fastest in SAN,,3,
1044,CVS,Right and left vagus respectively go to:,"SA node, AV node","AV node, SA node","AV node, bundle of His","SA node, bundle of His",,1,
1045,CVS,"When cardiac pacemaker is other than the SA node, it denotes:",Abnormal conducting tissue,Abnormal S-A node,Abnormal with neural controlling system,Next latent A-V node is pacemaker,,4,
1046,CVS,Fibers of internodal artial pathways are:,Modified atrial muscle fibers,Modified nerve fibres,Highly contractile,Conduct impulse rapidly,,1,
1047,CVS,Impulses are conducted from the SA node to the AV node at an approx. rate of :,0.1 mts/sec.,0.2 mts/sec.,1.0 mts/sec.,4.0 mts/sec.,,3,
